"","State","Brewery_id","Beer_ID","Style","Ounces","City","IBU","ABV","Beer_Name","Brewery_Name"
"1"," AK",103,1667,"American IPA",12,"Anchorage",70,6,"King Street IPA","King Street Brewing Company"
"2"," AK",103,2436,"American Amber / Red Ale",12,"Anchorage",46,5.1,"Amber Ale","King Street Brewing Company"
"3"," AK",494,920,"American Pale Ale (APA)",12,"Anchorage",17,5.2,"Polar Pale Ale","Broken Tooth Brewing Company"
"4"," AK",459,349,"American IPA",12,"Soldotna",46,6.8,"Sunken Island IPA","Kenai River Brewing Company"
"5"," AK",103,1706,"Czech Pilsener",12,"Anchorage",46,5.5,"King Street Pilsner","King Street Brewing Company"
"6"," AK",459,348,"Scottish Ale",12,"Soldotna",46,5.8,"Skilak Scottish Ale (2011)","Kenai River Brewing Company"
"7"," AK",224,434,"American IPA",12,"Anchorage",70,5.7,"Sockeye Red IPA","Midnight Sun Brewing Company"
"8"," AK",271,1920,"Altbier",12,"Juneau",18,5.3,"Alaskan Amber","Alaskan Brewing Company"
"9"," AK",224,587,"Witbier",12,"Anchorage",12,4.8,"Snowshoe White Ale","Midnight Sun Brewing Company"
"10"," AK",224,1814,"American IPA",12,"Anchorage",61,6.3,"Pleasure Town IPA","Midnight Sun Brewing Company"
"11"," AK",103,1666,"Hefeweizen",12,"Anchorage",10,5.7,"King Street Hefeweizen","King Street Brewing Company"
"12"," AK",558,30,"English Pale Ale",12,"Anchorage",46,4.9,"Urban Wilderness Pale Ale","Sleeping Lady Brewing Company"
"13"," AK",271,1921,"American Pale Ale (APA)",12,"Juneau",40,5.3,"Freeride APA","Alaskan Brewing Company"
"14"," AK",494,648,"American IPA",12,"Anchorage",64,6.1,"Fairweather IPA","Broken Tooth Brewing Company"
"15"," AK",494,919,"Cream Ale",12,"Anchorage",46,4.8,"Chugach Session Ale","Broken Tooth Brewing Company"
"16"," AK",459,1187,"American Blonde Ale",12,"Soldotna",15,5,"Peninsula Brewers Reserve (PBR)","Kenai River Brewing Company"
"17"," AK",459,1193,"Scottish Ale",12,"Soldotna",46,5.8,"Skilak Scottish Ale","Kenai River Brewing Company"
"18"," AK",224,586,"American Brown Ale",12,"Anchorage",24,5,"Kodiak Brown Ale","Midnight Sun Brewing Company"
"19"," AK",224,2093,"American IPA",12,"Anchorage",61,6.3,"Pleasure Town","Midnight Sun Brewing Company"
"20"," AK",494,921,"American Amber / Red Ale",12,"Anchorage",15,5,"Northern Lights Amber Ale","Broken Tooth Brewing Company"
"21"," AK",454,929,"Irish Red Ale",12,"Talkeetna",46,5.8,"Single Engine Red","Denali Brewing Company"
"22"," AK",454,947,"American IPA",12,"Talkeetna",71,6.5,"Twister Creek India Pale Ale","Denali Brewing Company"
"23"," AK",454,1159,"American Blonde Ale",12,"Talkeetna",46,5.6,"Mother Ale","Denali Brewing Company"
"24"," AK",454,1213,"Irish Dry Stout",12,"Talkeetna",55,5.9,"Chuli Stout","Denali Brewing Company"
"25"," AK",103,1665,"American Blonde Ale",12,"Anchorage",46,4.9,"King Street Blonde Ale","King Street Brewing Company"
"26"," AL",413,637,"American IPA",12,"Huntsville",70,7.2,"Monkeynaut IPA","Straight to Ale"
"27"," AL",287,1875,"American Pale Ale (APA)",12,"Gadsden",43,6,"Naked Pig Pale Ale","Back Forty Beer Company"
