"","State","Brewery_id","Beer_ID","City","IBU","ABV","Beer_Name","Brewery_Name","Type"
"1"," AK",103,1667,"Anchorage",70,6,"King Street IPA","King Street Brewing Company","IPA"
"4"," AK",459,349,"Soldotna",46,6.8,"Sunken Island IPA","Kenai River Brewing Company","IPA"
"7"," AK",224,434,"Anchorage",70,5.7,"Sockeye Red IPA","Midnight Sun Brewing Company","IPA"
"10"," AK",224,1814,"Anchorage",61,6.3,"Pleasure Town IPA","Midnight Sun Brewing Company","IPA"
"14"," AK",494,648,"Anchorage",64,6.1,"Fairweather IPA","Broken Tooth Brewing Company","IPA"
"26"," AL",413,637,"Huntsville",70,7.2,"Monkeynaut IPA","Straight to Ale","IPA"
"31"," AL",479,309,"Birmingham",64,6,"Good People IPA","Good People Brewing Company","IPA"
"35"," AL",479,312,"Birmingham",103,9.3,"Snake Handler Double IPA","Good People Brewing Company","IPA"
"43"," AZ",31,1071,"Chandler",85,7,"Hop Shock IPA","SanTan Brewing Company","IPA"
"51"," AZ",549,335,"Prescott",20.5,5.5,"Ponderosa IPA","Prescott Brewing Company","IPA"
"57"," AZ",31,317,"Chandler",85,7,"Hop Shock IPA (2010)","SanTan Brewing Company","IPA"
"70"," AZ",159,355,"Flagstaff",20.5,6.1,"Lumberyard IPA","Lumberyard Brewing Company","IPA"
"74"," AZ",161,358,"Tempe",47,6.7,"Hop Knot IPA","Four Peaks Brewing Company","IPA"
"85"," AZ",508,625,"Lake Havasu City",20.5,7.2,"Desert Magic IPA","Mudshark Brewing Company","IPA"
"88"," CA",515,718,"San Diego",42,8.7,"Rich Man's IIPA","Monkey Paw Pub & Brewery","IPA"
"91"," CA",289,1867,"San Diego",66,6.8,"Saint Archer IPA","Saint Archer Brewery","IPA"
"109"," CA",253,2002,"Santa Cruz",88,8.9,"Giant DIPA","Santa Cruz Mountain Brewing","IPA"
"120"," CA",241,1777,"Los Angeles",74,7.4,"2020 IPA","Golden Road Brewing","IPA"
"123"," CA",241,1490,"Los Angeles",60,5.9,"Point the Way IPA","Golden Road Brewing","IPA"
"125"," CA",253,1362,"Santa Cruz",42,7,"Casinos IPA","Santa Cruz Mountain Brewing","IPA"
"133"," CA",424,1346,"San Diego",86,8,"Habitus IPA","Hess Brewing Company","IPA"
"134"," CA",535,75,"Mammoth Lakes",42,6.5,"Epic IPA","Mammoth Brewing Company","IPA"
"144"," CA",347,1674,"Santee",93,9.9,"Chaotic Double IPA","Manzanita Brewing Company","IPA"
"145"," CA",35,1018,"San Diego",70,7,"Sculpin IPA","Ballast Point Brewing Company","IPA"
"146"," CA",36,2578,"San Francisco",42,6.5,"IPA","Anchor Brewing Company","IPA"
